               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.021056,            0.012603,          0.00063161,             0.93699,             0.85689,             0.91484,             0.52277,            0.032036,            0.026107,           0.0025681,            0.005842,            0.005842,            0.005842
                  65,            0.020549,            0.012635,          0.00075739,             0.95885,             0.84869,             0.92381,             0.52069,            0.032867,            0.027372,           0.0035527,            0.005776,            0.005776,            0.005776
                  66,            0.020856,            0.012455,          0.00089932,             0.98259,             0.85022,             0.93286,              0.5331,            0.033236,            0.027697,           0.0030087,             0.00571,             0.00571,             0.00571
                  67,              0.0204,            0.012048,          0.00066423,             0.99072,             0.86528,             0.94177,             0.53545,            0.033095,            0.027602,           0.0029806,            0.005644,            0.005644,            0.005644
                  68,            0.020369,            0.012244,           0.0008736,              0.9674,             0.86163,             0.94065,             0.55239,            0.032478,             0.02705,           0.0032041,            0.005578,            0.005578,            0.005578
                  69,            0.020452,            0.011977,          0.00075871,             0.91806,             0.89656,             0.94807,             0.54085,             0.03239,             0.02797,            0.003093,            0.005512,            0.005512,            0.005512
                  70,            0.020281,            0.012099,          0.00063444,              0.9822,              0.8728,             0.95448,             0.54127,            0.032333,             0.02702,           0.0020486,            0.005446,            0.005446,            0.005446
                  71,             0.01999,            0.011905,          0.00069367,             0.94848,               0.878,             0.94104,             0.53171,            0.032192,             0.02686,           0.0023435,             0.00538,             0.00538,             0.00538
                  72,            0.019886,            0.012014,          0.00074982,             0.96553,             0.91503,             0.95694,             0.55568,            0.031991,            0.026825,           0.0010443,            0.005314,            0.005314,            0.005314
                  73,            0.019527,            0.011958,          0.00062368,             0.94585,             0.91046,             0.95763,             0.55286,            0.032822,            0.027382,           0.0021257,            0.005248,            0.005248,            0.005248
                  74,            0.019721,            0.011958,          0.00071591,             0.92776,             0.89651,             0.93773,             0.53467,            0.031188,            0.027351,           0.0028432,            0.005182,            0.005182,            0.005182
                  75,            0.019494,             0.01201,          0.00079179,             0.93071,             0.86819,             0.91641,             0.53096,            0.031429,            0.027282,           0.0015874,            0.005116,            0.005116,            0.005116
                  76,            0.019193,            0.011817,          0.00065218,             0.91713,             0.90523,             0.93548,             0.55079,            0.030967,            0.026573,           0.0011881,             0.00505,             0.00505,             0.00505
                  77,            0.018757,            0.011731,          0.00096106,             0.95864,             0.87745,              0.9486,             0.56307,            0.030416,              0.0257,           0.0016276,            0.004984,            0.004984,            0.004984
                  78,            0.018864,            0.011585,          0.00080138,             0.97585,             0.86659,             0.95108,             0.55576,            0.030928,            0.026981,           0.0021913,            0.004918,            0.004918,            0.004918
                  79,            0.018614,            0.011214,           0.0005523,             0.94638,             0.89145,             0.95103,             0.54977,            0.030692,            0.026435,            0.003344,            0.004852,            0.004852,            0.004852
                  80,            0.018457,            0.011426,          0.00080047,              0.9048,             0.89564,              0.9383,             0.55708,             0.03084,            0.027509,           0.0039351,            0.004786,            0.004786,            0.004786
                  81,            0.018518,            0.011413,          0.00088448,             0.95929,             0.90488,             0.95174,             0.54844,            0.031018,            0.027541,           0.0011543,             0.00472,             0.00472,             0.00472
